GW31 FOF;CE;00:00;00:45
GR35 VRV;AB;00:00;00:45
RD29 RVW;CD;00:00;00:46
CF10 FRW;CD;00:00;00:50
FR02 IWJ;CD;00:00;00:53
PV15 XYP;BC;00:00;00:56
WO26 PZK;CE;00:00;00:58
WI47 SUS;BC;00:00;00:58
CA60 IXI;EH;00:00;00:59
IM60 WVJ;CE;00:00;01:06
XB28 BKN;CE;00:00;01:07
YR47 DSU;DE;00:00;01:09
GK29 BSA;AB;00:00;01:19
AA60 LNL;AB;00:00;01:24
GW31 FOF;CE;00:45;01:25
AM72 EJI;CG;00:00;01:26
AU96 HLG;EH;00:00;01:26
WO26 PZK;CD;00:58;01:38
WC88 MGY;CG;00:00;01:39
RD29 RVW;CD;00:46;01:40
RM14 EWD;EH;00:00;01:47
CA60 IXI;EH;00:59;01:53
GR35 VRV;AB;00:45;01:57
AK28 SCI;AB;00:00;01:58
RN52 EBL;CD;00:00;01:59
GK29 BSA;AB;01:19;02:00
GW31 FOF;CE;01:25;02:04
PV15 XYP;CG;00:56;02:08
AA60 LNL;AB;01:24;02:15
AM72 EJI;CE;01:26;02:17
FR02 IWJ;CG;00:53;02:21
WO26 PZK;DE;01:38;02:23
IM60 WVJ;CG;01:06;02:23
AU96 HLG;CE;01:26;02:24
CF10 FRW;CG;00:50;02:25
YR47 DSU;CD;01:09;02:28
AZ54 SNW;AB;00:00;02:30
WI47 SUS;CD;00:58;02:45
XB28 BKN;CD;01:07;02:48
GK29 BSA;BC;02:00;02:49
RD29 RVW;CD;01:40;02:56
GW31 FOF;CE;02:04;02:58
PV15 XYP;CG;02:08;03:02
WC88 MGY;CG;01:39;03:05
CA60 IXI;DE;01:53;03:06
YR47 DSU;BC;02:28;03:16
CF10 FRW;CG;02:25;03:18
FR02 IWJ;FG;02:21;03:22
LO21 ZRL;BC;00:00;03:23
GW31 FOF;DE;02:58;03:25
GR35 VRV;BF;01:57;03:30
AA60 LNL;BC;02:15;03:30
AU96 HLG;CE;02:24;03:31
AM72 EJI;DE;02:17;03:34
GK29 BSA;BC;02:49;03:36
YC15 AFL;EH;00:00;03:37
WO26 PZK;DE;02:23;03:40
RD29 RVW;DE;02:56;03:41
CF84 FYI;GH;00:00;03:45
AK28 SCI;AB;01:58;03:46
IM60 WVJ;FG;02:23;03:47
CA60 IXI;DE;03:06;03:54
CF10 FRW;CD;03:18;03:55
RN52 EBL;BC;01:59;03:55
GW31 FOF;DE;03:25;04:03
RM14 EWD;EH;01:47;04:10
WC88 MGY;CG;03:05;04:14
PV15 XYP;CD;03:02;04:22
WI47 SUS;DE;02:45;04:23
XB28 BKN;DE;02:48;04:31
AA60 LNL;CG;04:09;04:45
CA60 IXI;GH;04:17;04:52
FR02 IWJ;AB;04:08;04:54
GK29 BSA;AB;03:36;05:04
AU96 HLG;BF;04:02;05:11
GR35 VRV;AB;04:18;05:19
PV15 XYP;DE;04:22;05:21
AZ54 SNW;EH;04:12;05:21
AA60 LNL;CE;04:45;05:30
CA60 IXI;GH;04:52;05:36
RD29 RVW;EH;04:33;05:37
WC88 MGY;CG;04:14;05:38
FR02 IWJ;AB;04:54;05:44
YR47 DSU;CE;04:32;05:55
AM72 EJI;BC;04:19;05:55
WO26 PZK;AB;04:18;06:01
WI47 SUS;BF;04:50;06:03
AZ54 SNW;EH;05:21;06:06
AK28 SCI;CD;05:03;06:13
AU96 HLG;BF;05:11;06:13
GK29 BSA;BF;05:05;06:20
AA60 LNL;CE;05:30;06:31
CA60 IXI;GH;05:36;06:35
RD29 RVW;CE;05:37;06:37
GR35 VRV;AB;05:19;06:44
YC15 AFL;AB;05:48;06:47
AU96 HLG;AB;06:13;06:56
WC88 MGY;DE;05:48;06:57
XB28 BKN;CD;05:37;06:59
RM14 EWD;AB;05:33;07:00
CA60 IXI;GH;06:35;07:02
FR02 IWJ;AB;05:44;07:05
PV15 XYP;AB;05:34;07:08
IM60 WVJ;BC;05:17;07:10
LO21 ZRL;GH;05:45;07:15
WO26 PZK;AB;06:01;07:17
GK29 BSA;FG;06:20;07:20
GR35 VRV;BC;06:44;07:21
CF10 FRW;CE;04:48;07:22
AA60 LNL;CG;06:31;07:26
AM72 EJI;CD;05:55;07:34
YR47 DSU;CE;05:55;07:34
AK28 SCI;CD;06:13;07:40
WI47 SUS;BF;06:03;07:41
AZ54 SNW;EH;06:06;07:47
YC15 AFL;BF;06:47;07:47
WC88 MGY;DE;06:57;07:52
XB28 BKN;DE;06:59;08:03
LO21 ZRL;GH;07:15;08:03
FR02 IWJ;BC;07:05;08:04
RD29 RVW;CG;06:37;08:05
AA60 LNL;FG;07:26;08:10
AU96 HLG;AB;06:56;08:11
GR35 VRV;BC;07:21;08:14
WO26 PZK;AB;07:17;08:15
CA60 IXI;GH;07:02;08:15
FZ79 UOR;GH;05:47;08:24
RM14 EWD;AB;07:00;08:26
PV15 XYP;BF;07:08;08:29
WC88 MGY;DE;07:52;08:43
AU96 HLG;BC;08:11;08:48
AZ54 SNW;GH;07:47;08:51
YC15 AFL;BF;07:47;08:52
XB28 BKN;DE;08:03;08:53
AK28 SCI;DE;07:40;08:55
GK29 BSA;GH;07:20;08:57
GR35 VRV;AB;08:14;09:05
LO21 ZRL;GH;08:03;09:06
IM60 WVJ;CD;07:10;09:10
AM72 EJI;CD;07:34;09:13
YR47 DSU;CG;07:34;09:13
CF10 FRW;CD;07:22;09:14
WI47 SUS;AB;07:41;09:15
CA60 IXI;AB;08:30;09:16
XB28 BKN;CD;08:53;09:24
PV15 XYP;FG;08:29;09:27
