UR69 XCY;CE;00:00;00:36
MR71 FHE;AB;00:00;00:39
TS48 MMQ;AB;00:00;00:46
FR33 LFC;GH;00:00;00:47
NM80 XOW;GH;00:00;00:52
AD81 LRT;BF;00:00;00:56
NH53 GRI;CE;00:00;01:05
CF30 HBS;AB;00:00;01:06
YR86 ZXY;AB;00:00;01:12
JG70 ZCZ;AB;00:00;01:13
QG98 LHU;BF;00:00;01:20
TS48 MMQ;BC;00:46;01:22
MR71 FHE;BF;00:39;01:24
HL69 MGO;AB;00:00;01:24
FV15 GVJ;DE;00:00;01:28
UR69 XCY;BC;00:36;01:29
FO14 KKA;GH;00:00;01:31
GS11 VSB;BF;00:00;01:33
LV97 LJC;CG;00:00;01:37
II26 YJM;EH;00:00;01:42
FL34 FPI;FG;00:00;01:44
FR33 LFC;CG;00:47;01:51
AD81 LRT;BF;00:56;01:59
LM42 MAG;BF;00:00;02:03
CF30 HBS;AB;01:06;02:03
FO14 KKA;GH;01:31;02:09
MR71 FHE;BF;01:24;02:10
NX54 IVY;BF;00:00;02:11
NM80 XOW;EH;00:52;02:11
TS48 MMQ;BC;01:22;02:13
HL69 MGO;BC;01:24;02:14
JG70 ZCZ;AB;01:13;02:20
FV15 GVJ;CE;01:28;02:22
KO05 OOP;DE;00:00;02:25
QG98 LHU;FG;01:20;02:32
UR69 XCY;BF;01:29;02:39
CF30 HBS;BF;02:03;02:41
FO14 KKA;GH;02:09;02:43
MR71 FHE;BC;02:10;02:44
CG32 UPP;DE;00:00;02:46
NH53 GRI;CE;01:05;02:49
GS11 VSB;BF;01:33;02:57
FR33 LFC;CD;01:51;02:59
LV97 LJC;CE;01:37;03:03
II26 YJM;EH;01:42;03:04
NM80 XOW;DE;02:11;03:06
HL69 MGO;CD;02:14;03:10
YR86 ZXY;BC;01:12;03:11
JG70 ZCZ;BC;02:20;03:17
FO14 KKA;CG;02:43;03:23
AD81 LRT;FG;01:59;03:24
TS48 MMQ;BF;02:13;03:25
CF30 HBS;BF;02:41;03:33
FL34 FPI;GH;01:44;03:33
MR71 FHE;CE;02:44;03:35
NX54 IVY;FG;02:11;03:40
FV15 GVJ;CG;02:22;03:48
UR69 XCY;FG;02:39;03:51
QG98 LHU;CG;02:32;03:59
GS11 VSB;BC;02:57;04:03
NH53 GRI;CD;02:49;04:12
NM80 XOW;CD;03:06;04:14
II26 YJM;EH;03:04;04:15
TS48 MMQ;FG;03:25;04:18
LM42 MAG;BF;02:03;04:18
MR71 FHE;CE;03:35;04:19
LV97 LJC;CE;03:03;04:23
FO14 KKA;BC;03:23;04:24
KO05 OOP;EH;02:25;04:31
HL69 MGO;CD;03:10;04:31
AD81 LRT;GH;03:24;04:36
GS11 VSB;CE;04:03;04:41
FV15 GVJ;GH;03:48;04:43
